StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q13,Q15,Q16,Q17,Q19,Q20,Q21,Q21_4_TEXT,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q31_1,Q31_2,Q31_3,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_6_TEXT,Q35,Q36,Q36_4_TEXT,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q43_7_TEXT,Q44,Q44_8_TEXT,Q45,Q45_4_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Anonymous Online Consent Statement



Purpose: 
You are being asked to participate in a research study being conducted by the Bren School of Environmental Science and Management at the University of California, Santa Barbara. Participation is voluntary. The purpose of this research study is to gain a better understanding of the perception of aquaculture in California. 

 

Procedures:

If you choose to be in the study, you will complete an online survey. The survey will take about 5 to 10 minutes to complete. 

 

You can skip questions that you do not wish to answer or stop the survey at any time. The survey is anonymous and no one will be able to link your responses back to you. Please do not include your name or other information that could be used to identify you in the survey responses. 

 

Contact Information: ​

If you have questions about the research, you can contact us at gp-kelpwanted@bren.ucsb.edu. 
If you have any questions regarding your rights as a research subject, please contact the Human Subjects Committee at (805) 893-3807 or hsc@research.ucsb.edu. Or write to the University of California, Human Subjects Committee, Office of Research, Santa Barbara, CA 93106-2050



Please indicate that you have read the above and consent to participate in this study.",Are you supportive of or opposed to expanding seaweed farming off the California coast?,"When you think of seaweed farming, what word comes to mind?",Are you supportive of or opposed to expanding kelp farming off the California coast?,"When you think of kelp farming, what word comes to mind?",Are you supportive of or opposed to expanding seaweed aquaculture off the California coast?,"When you think of seaweed aquaculture, what word comes to mind?",Are you supportive of or opposed to expanding kelp aquaculture off the California coast?,"When you think of kelp aquaculture, what word comes to mind?",How familiar are you with aquaculture?,"Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Ocean farming","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Seaweed farming","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Kelp farming","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Ocean aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Seaweed aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Kelp aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Regenerative aquaculture","Aquaculture is referred to by many names. Please rank the following names based on which you view most positively, with 1 being most positive. (drag text up or down to change ranking position) - Seaweed mariculture","In general, how positive or negative is your view of aquaculture?","In general, how positive or negative is your view of seaweed aquaculture?",Do you spend free time by or in the ocean?,How many days per month do you spend your free time by or in the ocean?,Have you heard of aquaculture farms off the California coast?,Have you seen aquaculture farms off the California coast?,Select type(s) of aquaculture that you have heard of or seen off the California coast: - Selected Choice,Select type(s) of aquaculture that you have heard of or seen off the California coast: - Other - Text,"Do you consume seafood (shellfish, fish, seaweed, etc.)?",How many times a month do you consume seafood?,Do you know the origins of the seafood you purchase or consume (wild caught vs. farmed/aquacultured)?,Do you have a preference regarding the origins of the seafood you purchase or consume?,"To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... has negative impacts on marine ecosystems.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... improves water quality nearby.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... infrastructure poses a risk to marine life.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... infrastructure increases plastic pollution in the ocean.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... causes bad smells nearby.","To what extent do you agree with each of the following statements?

Seaweed aquaculture... - ... is visually appealing.",To what extent do you agree with each of the following statements? - Aquaculture has the same environmental problems as land-based agriculture.,To what extent do you agree with each of the following statements? - Farmed seafood is a better for the environment than harvesting wild seafood.,To what extent do you agree with each of the following statements? - Aquaculture will be an important food supply as climate change progresses.,"To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... has a positive impact on the local economy.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... lowers the price of seafood.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... provides good jobs to those living on the coast.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... interferes with commercial and recreational fishing.","To what extent do you agree with each of the following statements?
Seaweed aquaculture... - ... interferes with tourism/recreation.",To what extent do you agree with each of the following statements? - All types of aquaculture concern me.,To what extent do you agree with each of the following statements? - Seaweed aquaculture has fewer risks than shellfish and fish aquaculture.,To what extent do you agree with each of the following statements? - The benefits of seaweed aquaculture outweigh the potential risks.,"To what extent do you agree with each of the following statements? - I trust existing permitting, monitoring and enforcement processes for ocean aquaculture.",To what extent do you agree with each of the following statements? - I trust scientists who study how we use the environment.,To what extent do you agree with each of the following statements? - I am concerned about climate change.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will be too close to shore.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will be too big.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will have an impact on coastal recreation.,To what extent do you agree with each of the following statements? - I am concerned that seaweed cultivation sites will damage the aesthetic beauty of the California coast.,To what extent do you agree with each of the following statements? - I am concerned about the environmental impacts of the seaweed aquaculture industry.,To what extent do you agree with each of the following statements? - I am interested in learning more about the issues surrounding seaweed aquaculture.,To what extent do you agree with each of the following statements? - I would support policies that fund research on seaweed aquaculture.,To what extent do you agree with each of the following statements? - I would support policies that expand seaweed aquaculture operations in California.,"Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Policy","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Permitting","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Environmental impacts","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Economic impacts","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Social & cultural impacts","Rank the aquaculture related topics in order of your interest in learning more, with 1 being most interested. (drag text up or down to change ranking position) - Research","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred: - Short educational film","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred: - Physical pamphlets","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred: - Festivals/conferences","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred: - Website","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred: - Social Media/Blogs","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred: - Other","Rank the forms of communication by which you would prefer to learn about aquaculture, with 1 being most preferred: - Other - Text",In what year were you born?,Please select your gender identity: - Selected Choice,Please select your gender identity: - Not listed - Text,Please indicate your race/ethnicity: (select all that apply),What is your highest level of education?,Select your annual household income:,Enter the number of people in your household (including yourself):,Enter your zipcode:,"In general, do you consider yourself as a Republican, Democrat, Independent, or something else?",Indicate the sector(s) which your occupation falls under: - Selected Choice,Indicate the sector(s) which your occupation falls under: - other - Text,"Which of the following best describes your relationship, if any, to the aquaculture industry? - Selected Choice","Which of the following best describes your relationship, if any, to the aquaculture industry? - Other - Text",How did you find out about this survey? - Selected Choice,How did you find out about this survey? - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID31""}","{""ImportId"":""QID6""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID4""}","{""ImportId"":""QID48""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID50""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_13""}","{""ImportId"":""QID22_8""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_14""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_6_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_4_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_9_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_6_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_4_TEXT""}"
12/9/21 11:24,12/9/21 11:33,IP Address,67.183.42.18,100,528,TRUE,12/9/21 11:33,R_3iRnPJwVtFYsgM9,,,,,47.53640747,-122.2779999,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,,,,,Somewhat supportive,Urchins,,,Basic understanding,7,8,6,5,3,2,1,4,Positive,Very Positive,Yes,1-5 days,Yes,No,"Shellfish,Seaweed",,Yes,4-Jan,No,No preference,Disagree,Agree,Neutral,Neutral,Disagree,Don't know,Disagree,Neutral,Agree,Agree,Don't know,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,1,3,2,4,5,6,4,5,1,3,2,6,,1995,Woman,,White/Caucasian,Master's degree,$125K - $150K,2,93110,Democrat,"government,non-profit",,None,,,
12/9/21 11:41,12/9/21 11:51,IP Address,76.167.120.92,100,616,TRUE,12/9/21 11:51,R_tVx2j393QZyEcDf,,,,,32.80029297,-117.2438049,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,,,,,,,Strongly supportive,Regenerative,Very familiar,1,3,2,8,5,6,4,7,Neutral,Very Positive,Yes,15+ days,Yes,No,"Fish,Shellfish,Seaweed",,Yes,8-Apr,Yes,No preference,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,4,5,1,6,3,2,4,6,1,3,5,2,Webinars/Courses,1993,Man,,White/Caucasian,Bachelor's degree,$125K - $150K,2,92109,Democrat,other,Biotech,"Customer,Other",Citizen Science,Social media,
12/9/21 12:51,12/9/21 12:58,IP Address,68.99.125.28,100,415,TRUE,12/9/21 12:58,R_2S8hVjNTtlGENI9,,,,,34.40600586,-119.5180969,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,,,Somewhat supportive,Agriculture ,,,,,Basic understanding,7,6,5,4,3,1,2,8,Positive,Positive,Yes,5-10 days,Yes,No,"Fish,Shellfish,Seaweed,Other",Urchin,Yes,4-Jan,Yes,Wild caught,Disagree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,1,5,4,3,2,6,,1995,Woman,,White/Caucasian,Master's degree,Prefer not to state,1,93117,Democrat,education,,Customer,,Social media,
12/9/21 13:33,12/9/21 13:41,IP Address,66.27.117.206,100,461,TRUE,12/9/21 13:41,R_1eVMFor2MH7a7r3,,,,,32.80029297,-117.2438049,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Strongly supportive,Healthy ,,,,,,,Basic understanding,7,2,4,8,1,5,3,6,Very Positive,Very Positive,Yes,5-10 days,Yes,No,"Fish,Seaweed,Other",Oyster,Yes,4-Jan,No,No preference,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,3,2,5,1,6,4,4,5,2,1,3,6,,2004,Woman,,White/Caucasian,Some High School,Prefer not to state,3,92106,Democrat,education,,None,,Social media,
12/9/21 13:36,12/9/21 13:45,IP Address,136.56.119.22,100,532,TRUE,12/9/21 13:45,R_2QrYOBqjodH7mTA,,,,,35.79649353,-78.79810333,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,,,Strongly supportive,Clever,,,,,Very familiar,8,6,7,4,1,2,3,5,Positive,Very Positive,No,,Yes,No,"Fish,Shellfish,Seaweed",,Yes,4-Jan,Yes,No preference,Don't know,Agree,Don't know,Don't know,Don't know,Don't know,Disagree,Agree,Agree,Agree,Agree,Agree,Don't know,Don't know,Neutral,Agree,Don't know,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,3,6,1,5,4,2,3,4,5,2,1,6,,1996,Non-binary,,White/Caucasian,Master's degree,$25K - $50K,1,27707,Democrat,other,Data science,None,,Social media,
12/9/21 13:55,12/9/21 14:05,IP Address,136.52.87.112,100,609,TRUE,12/9/21 14:05,R_1IiaPhcQm5FPWE1,,,,,33.73890686,-117.7480011,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,Neither opposed nor in support,Wet,,,,,,,Never heard of it,8,7,6,2,3,4,1,5,Positive,Neutral,No,,No,No,,,No,,,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Strongly Agree,Agree,Don't know,Agree,Don't know,Disagree,Disagree,Neutral,Don't know,Don't know,Neutral,Strongly Agree,,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,6,5,1,3,2,4,1,4,2,5,3,6,,,Prefer not to state,,,Bachelor's degree,$75K - $100K,,92603,,,,None,,Social media,
12/9/21 14:00,12/9/21 14:16,IP Address,70.187.243.148,100,936,TRUE,12/9/21 14:16,R_1His4RjgDe4vYAu,,,,,33.73890686,-117.7480011,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,,,,,,,Neither opposed nor in support,Preservation,"Heard of it, but don't know details",2,5,6,1,4,7,8,3,Very Positive,Very Positive,Yes,10-15 days,Yes,No,"Fish,Shellfish,Seaweed",,No,,,,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,5,6,1,4,3,2,1,5,3,4,2,6,,1999,Man,,Hispanic or Latinx,Bachelor's degree,Prefer not to state,4,92782,Democrat,healthcare,,None,,Social media,
12/9/21 15:22,12/9/21 15:28,IP Address,73.240.239.75,100,395,TRUE,12/9/21 15:28,R_WwHgpjOPcMDBTwd,,,,,44.59280396,-123.2745972,anonymous,EN,I have read the above consent statement and AGREE to participate in this study,,,,,Strongly supportive,Kelp,,,Basic understanding,2,1,3,8,4,6,5,7,Positive,Positive,Yes,10-15 days,Yes,Yes,"Fish,Shellfish,Seaweed",,Yes,4-Jan,Yes,Wild caught,Disagree,Agree,Don't know,Don't know,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Don't know,Agree,Don't know,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,5,6,2,3,1,4,3,5,4,1,2,6,,1994,Woman,,White/Caucasian,Master's degree,$50K - $75K,2,93105,Democrat,other,,"Customer,None",,Social media,
